<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20200102,10.63,10.64,10.5,10.64,56800
BMSCG,20200102,7.61,7.61,7.6,7.6,2300
BMSCITH,20200102,11.66,11.77,11.65,11.76,343900
BSET100,20200102,10.27,10.36,10.26,10.34,138200
CHINA,20200102,5.69,5.76,5.69,5.71,21100
EBANK,20200102,4.93,4.93,4.93,4.93,9000
ECOMM,20200102,7.82,7.82,7.82,7.82,1000
ENGY,20200102,6.42,6.42,6.42,6.42,3600
ENY,20200102,7.35,7.37,7.35,7.37,5800
ESET50,20200102,5.72,5.72,5.72,5.72,100
GLD,20200102,1.93,1.94,1.93,1.94,163700
TDEX,20200102,10.69,10.79,10.69,10.75,277900
TGOLDETF,20200102,4.19,4.19,4.18,4.18,15200
TH100,20200102,4.63,4.63,4.63,4.63,300
2S,20200102,2.02,2.02,2,2,176100
7UP,20200102,0.51,0.51,0.5,0.51,4418000
A,20200102,6.15,6.2,6.15,6.2,7500
AAV,20200102,2.24,2.3,2.24,2.26,12692900
ABICO,20200102,4.04,4.08,4,4.08,11500
ABM,20200102,0.74,0.76,0.74,0.74,21600
ABPIF,20200102,4.6,4.62,4.6,4.62,102000
ACAP,20200102,1.31,1.33,1.3,1.31,191700
ACC,20200102,0.65,0.66,0.63,0.63,491300
ACE,20200102,4.24,4.32,4.2,4.3,22220200
ACG,20200102,1.02,1.03,1.02,1.02,136500
ADB,20200102,0.64,0.64,0.63,0.64,60300
ADVANC,20200102,214,219,212,218,5921300
AEC,20200102,0.34,0.34,0.32,0.33,114400
AEONTS,20200102,191.5,194.5,190,191,200200
AF,20200102,0.65,0.65,0.65,0.65,15000
AGE,20200102,0.89,0.89,0.88,0.89,547600
AH,20200102,15,15,14.5,14.6,306600
AHC,20200102,18.1,18.5,17.9,18.1,29100
AI,20200102,1.05,1.06,1.05,1.06,678000
AIE,20200102,0.3,0.3,0.29,0.3,1083800
AIMCG,20200102,8.95,8.95,8.85,8.9,77500
AIMIRT,20200102,13.4,13.4,13.2,13.2,290800
AIRA,20200102,1.22,1.29,1.18,1.2,1300
